Genus_spp,Code,n,measured,min_length,max_length,mean_length,sd_length,median_length,mods_obs
Chromis punctipinnis,Blacksmith,5955,5929,100.123,232.102,146.1378907066959,15.85649332671971,146.443,18
Paralabrax clathratus,Kelp Bass,482,422,130.224,461.909,277.6981848341232,54.154374325603506,270.558,18
Oxyjulis californica,Senorita,476,461,102.752,224.345,169.013852494577,21.20396669360269,167.154,15
Semicossyphus pulcher,California Sheephead,319,290,44.729,670.807,259.3371551724138,77.68498322359275,249.406,18
Embiotoca jacksoni,Black Perch,194,165,39.059,259.586,159.16385454545454,31.48667896619422,157.41,18
Hypsurus caryi,Rainbow Seaperch,120,109,98.085,197.187,145.0283119266055,22.555474822665005,140.529,16
Paralabrax nebulifer,Barred Sand Bass,113,99,153.379,407.672,264.3900606060606,54.038977368535626,262.005,18
Girella nigricans,Opaleye,87,70,140.956,457.418,296.0324428571429,62.86962935270068,290.061,17
Damalichthys vacca,Pile Perch,66,53,135.829,287.852,185.86790566037735,39.90819163851343,175.778,17
Sebastes serranoides,Olive Rockfish,58,50,123.78,196.931,161.99756,14.139022678114813,164.1695,13
Halichoeres semicinctus,Rock Wrasse,31,28,186.099,283.133,225.32478571428572,21.3374031766462,224.471,12
Phanerodon furcatus,White Seaperch,28,28,145.767,252.294,174.93464285714285,20.016728530229663,172.60000000000002,7
Sebastes miniatus,Vermilion Rockfish,23,20,47.207,83.087,63.31615,11.201769166073722,60.803,9
Medialuna californiensis,Halfmoon,17,17,167.726,305.974,235.04664705882354,36.51080686923595,231.684,4
Rhacochilus toxotes,Rubberlip Seaperch,16,11,175.857,359.011,290.2602727272727,54.9647784896672,285.086,4
Caulolatilus princeps,Ocean Whitefish,11,10,228.81,438.97,325.7423,70.98659364360445,328.8575,7
Hypsypops rubicundus,Garibaldi,10,9,162.049,323.188,218.37144444444445,54.56578796075227,202.173,7
Oxylebius pictus,Painted Greenling,8,6,75.739,158.884,116.12516666666667,38.584017216545334,117.8655,5
Brachyistius frenatus,Kelp Perch,6,4,55.344,132.183,80.99475,35.53000400952224,68.226,2
Hermosilla azurea,Zebraperch,5,4,135.349,172.245,151.58724999999998,18.453334773151443,149.3775,3
Anisotremus davidsonii,Sargo,4,4,166.839,307.455,237.72050000000002,59.0929260825693,238.294,2
Cheilotrema saturnum,Black Croaker,2,2,117.663,230.865,174.264,80.04590184387956,174.264,2
Rhinogobiops nicholsii,Blackeye Goby,2,NA,NA,NA,NA,NA,NA,2
Leiocottus hirundo,Lavender Sculpin,1,1,197.623,197.623,197.623,NA,197.623,1
Sebastes dallii,Calico Rockfish,1,1,181.875,181.875,181.875,NA,181.875,1
